,bea_code,category,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
1313,DHLCRY2,Health care - DHLCRY2,2009_Q2,0.24,0.44,0.44,0.44,0.2,0.2,0.2,17.0,2009,4,2009-04-01
1314,DHLCRY2,Health care - DHLCRY2,2009_Q3,0.27,0.02,0.02,0.02,-0.25,0.25,0.25,17.0,2009,7,2009-07-01
1315,DHLCRY2,Health care - DHLCRY2,2009_Q4,0.16,0.25,0.25,0.25,0.09,0.09,0.09,17.0,2009,10,2009-10-01
1316,DHLCRY2,Health care - DHLCRY2,2010_Q1,0.26,0.2,0.2,0.2,-0.06,0.06,0.06,17.0,2010,1,2010-01-01
1317,DHLCRY2,Health care - DHLCRY2,2010_Q2,0.08,0.35,0.35,0.35,0.27,0.27,0.27,17.0,2010,4,2010-04-01
1318,DHLCRY2,Health care - DHLCRY2,2010_Q3,0.3,0.14,0.14,0.14,-0.16,0.16,0.16,17.0,2010,7,2010-07-01
1319,DHLCRY2,Health care - DHLCRY2,2010_Q4,0.33,0.52,0.52,0.52,0.19,0.19,0.19,17.0,2010,10,2010-10-01
1320,DHLCRY2,Health care - DHLCRY2,2011_Q1,0.29,0.41,0.41,0.41,0.12,0.12,0.12,17.0,2011,1,2011-01-01
1321,DHLCRY2,Health care - DHLCRY2,2011_Q2,0.16,0.32,0.32,0.32,0.16,0.16,0.16,17.0,2011,4,2011-04-01
1322,DHLCRY2,Health care - DHLCRY2,2011_Q3,0.61,-0.07,0.07,0.07,-0.68,0.68,0.68,17.0,2011,7,2011-07-01
1323,DHLCRY2,Health care - DHLCRY2,2011_Q4,0.13,0.25,0.25,0.25,0.12,0.12,0.12,17.0,2011,10,2011-10-01
1324,DHLCRY2,Health care - DHLCRY2,2012_Q1,0.07,0.39,0.39,0.39,0.32,0.32,0.32,17.0,2012,1,2012-01-01
1325,DHLCRY2,Health care - DHLCRY2,2012_Q2,0.2,-0.15,0.15,0.15,-0.35,0.35,0.35,17.0,2012,4,2012-04-01
1326,DHLCRY2,Health care - DHLCRY2,2012_Q3,-0.17,0.31,0.31,0.31,0.48,0.48,0.48,17.0,2012,7,2012-07-01
1327,DHLCRY2,Health care - DHLCRY2,2012_Q4,0.26,0.26,0.26,0.26,0.0,0.0,0.0,17.0,2012,10,2012-10-01
1328,DHLCRY2,Health care - DHLCRY2,2013_Q1,0.24,0.14,0.14,0.14,-0.1,0.1,0.1,17.0,2013,1,2013-01-01
1329,DHLCRY2,Health care - DHLCRY2,2013_Q2,0.3,0.4,0.4,0.4,0.1,0.1,0.1,17.0,2013,4,2013-04-01
1330,DHLCRY2,Health care - DHLCRY2,2013_Q3,0.1,0.31,0.31,0.31,0.21,0.21,0.21,17.0,2013,7,2013-07-01
1331,DHLCRY2,Health care - DHLCRY2,2013_Q4,0.18,0.62,0.62,0.62,0.44,0.44,0.44,17.0,2013,10,2013-10-01
1332,DHLCRY2,Health care - DHLCRY2,2014_Q1,1.1,-0.16,0.16,0.16,-1.26,1.26,1.26,17.0,2014,1,2014-01-01
1333,DHLCRY2,Health care - DHLCRY2,2014_Q2,0.08,0.45,0.45,0.45,0.37,0.37,0.37,17.0,2014,4,2014-04-01
1334,DHLCRY2,Health care - DHLCRY2,2014_Q3,0.2,0.52,0.52,0.52,0.32,0.32,0.32,17.0,2014,7,2014-07-01
1335,DHLCRY2,Health care - DHLCRY2,2014_Q4,0.51,0.88,0.88,0.88,0.37,0.37,0.37,17.0,2014,10,2014-10-01
1336,DHLCRY2,Health care - DHLCRY2,2015_Q1,0.62,0.62,0.62,0.62,0.0,0.0,0.0,17.0,2015,1,2015-01-01
1337,DHLCRY2,Health care - DHLCRY2,2015_Q2,0.31,0.34,0.34,0.34,0.03,0.03,0.03,17.0,2015,4,2015-04-01
1338,DHLCRY2,Health care - DHLCRY2,2015_Q3,0.45,0.4,0.4,0.4,-0.05,0.05,0.05,17.0,2015,7,2015-07-01
1339,DHLCRY2,Health care - DHLCRY2,2015_Q4,0.43,0.3,0.3,0.3,-0.13,0.13,0.13,17.0,2015,10,2015-10-01
